번호,원본 키워드,원본 레이어,필요충분조건 키워드,NSC 레이어,검증 키워드,최소 매칭 수
32,반쯤 지워진 횡단보도 표시,L2,보행 구역 오인하는 차량,L4,half erased crosswalk marking|partially faded crosswalk|crosswalk marking|crosswalk sign|crosswalk|crossing|damaged,1
33,겹쳐 그려진 횡단보도 표시,L2,위치 혼동하며 정지하는 차량,L4,overlapping crosswalk markings|double painted crosswalk|crosswalk marking|crosswalk sign|crosswalk|crossing|damaged,1
34,색 바랜 횡단보도 표시,L2,야간에 횡단보도 놓치는 차량,L4,faded crosswalk marking|discolored crosswalk paint|crosswalk marking|crosswalk sign|crosswalk|crossing|damaged,1
35,마모된 횡단보도 표시,L2,서행 없이 지나치는 차량,L4,worn crosswalk marking|eroded crosswalk paint|crosswalk marking|crosswalk sign|crosswalk|crossing|damaged,1
36,포장 공사로 끊긴 횡단보도 표시,L2,횡단보도 경계 착각하는 보행자,L4,crosswalk marking interrupted by paving work|crosswalk cut off by construction|crosswalk marking|crosswalk sign|crosswalk|crossing|damaged,1
37,빗물에 씻겨나간 횡단보도 표시,L2,우천 시 횡단보도 놓치는 차량,L4,crosswalk marking washed away by rain|rain worn crosswalk paint|crosswalk marking|crosswalk sign|crosswalk|crossing|damaged,1
38,야간 반사도료 없는 횡단보도 표시,L2,야간에 급정지하는 차량,L4,crosswalk marking without night reflective paint|non-reflective crosswalk at night|crosswalk marking|crosswalk sign|crosswalk|crossing|damaged,1
39,이중으로 덧칠된 횡단보도 표시,L2,정지선 위치 혼동하는 차량,L4,double repainted crosswalk marking|overpainted crosswalk|crosswalk marking|crosswalk sign|crosswalk|crossing|damaged,1
40,경계선 흐려진 횡단보도 표시,L2,횡단 범위 벗어나 걷는 보행자,L4,crosswalk marking with blurred boundary|faded crosswalk edge line|crosswalk marking|crosswalk sign|crosswalk|crossing|damaged,1
41,지워진 차선,L2,차로 구분 못하고 밀려나는 차량,L4,erased lane marking|missing lane line|lane marking|lane line|lane|line|damaged,1
42,색 바랜 차선,L2,야간에 차로 이탈하는 차량,L4,faded lane marking|discolored lane line|lane marking|lane line|lane|line|damaged,1
43,반사도료 벗겨진 차선,L2,야간 차로 인지 못하는 차량,L4,lane marking with worn reflective paint|non-reflective lane line|lane marking|lane line|lane|line|damaged,1
44,겹쳐 그려진 차선,L2,차로 혼동하며 갈지자로 주행하는 차량,L4,overlapping lane markings|double painted lane line|lane marking|lane line|lane|line|damaged,1
45,마모된 중앙선,L2,중앙선 침범하는 차량,L4,worn center line|eroded centerline marking|lane marking|lane line|lane|line|damaged,1
46,빗물에 씻겨나간 차선,L2,우천 시 차로 이탈하는 차량,L4,lane marking washed away by rain|rain worn lane line|lane marking|lane line|lane|line|damaged,1
47,공사로 끊긴 차선,L2,차로 위치 혼란스러워하는 차량,L4,lane marking interrupted by construction|lane line cut off by roadwork|lane marking|lane line|lane|line|damaged,1
48,방향 혼동되는 임시 차선,L2,잘못된 차로로 진입하는 차량,L4,confusing temporary lane marking|misleading temporary lane line|lane marking|lane line|lane|line|damaged,1
49,좌우 비대칭인 차선,L2,차로 폭 오판하는 차량,L4,asymmetric lane marking|uneven lane line|lane marking|lane line|lane|line|damaged,1
50,야간 식별 어려운 차선,L2,야간에 차로 중앙을 못 잡는 차량,L4,lane marking hard to see at night|poor night visibility lane line|lane marking|lane line|lane|line|damaged,1
51,벗겨진 정지선,L2,정지 위치 지나쳐 서는 차량,L4,worn stop line|peeling stop line paint|stop line|line|stopline|damaged,1
52,흐릿한 정지선,L2,정지선 못 보고 진입하는 차량,L4,faint stop line|faded stop line|stop line|line|stopline|damaged,1
53,지워진 정지선,L2,정지 위치 임의로 판단하는 차량,L4,erased stop line|missing stop line marking|stop line|line|stopline|damaged,1
54,위치 어긋난 정지선,L2,횡단보도 침범해 정차하는 차량,L4,misplaced stop line|stop line in wrong position|stop line|line|stopline|damaged,1
55,겹쳐 그려진 정지선,L2,정지 위치 혼동하는 차량,L4,overlapping stop line markings|double painted stop line|stop line|line|stopline|damaged,1
56,마모된 정지선,L2,정지선 인지 늦은 차량,L4,worn stop line marking|eroded stop line|stop line|line|stopline|damaged,1
57,빗물에 씻겨나간 정지선,L2,우천 시 정지 위치 지나치는 차량,L4,stop line washed away by rain|rain worn stop line|stop line|line|stopline|damaged,1
58,포장 공사로 끊긴 정지선,L2,정지 기준 못 찾는 차량,L4,stop line interrupted by paving work|stop line cut off by construction|stop line|line|stopline|damaged,1
59,색 바랜 정지선,L2,야간에 정지선 놓치는 차량,L4,faded stop line|discolored stop line|stop line|line|stopline|damaged,1
60,반사도료 없는 정지선,L2,야간 정지 위치 오판하는 차량,L4,stop line without reflective paint|non-reflective stop line|stop line|line|stopline|damaged,1
61,파손된 중앙분리대,L2,중앙선 침범해 반대 차로로 넘어가는 차량,L4,damaged median barrier|broken center divider|median barrier|center divider|median|divider|damaged,1
62,기울어진 중앙분리대,L2,좁아진 차로 폭에 놀라 급조향하는 차량,L4,tilted median barrier|leaning median strip|median barrier|center divider|median|divider|damaged,1
63,연결부 이탈된 중앙분리대,L2,틈새로 무단횡단 시도하는 보행자,L4,median barrier with detached joint|disconnected median barrier segment|median barrier|center divider|median|divider|damaged,1
64,반사판 탈락된 중앙분리대,L2,야간에 분리대 못 보고 근접 주행하는 차량,L4,median barrier missing reflector|median strip reflector detached|median barrier|center divider|median|divider|damaged,1
65,녹슨 중앙분리대,L2,경계 흐려져 중앙선 넘는 차량,L4,rusted median barrier|corroded center divider|median barrier|center divider|median|divider|damaged,1
66,금 간 중앙분리대,L2,붕괴 우려로 서행하는 차량,L4,cracked median barrier|fractured median strip|median barrier|center divider|median|divider|damaged,1
67,고정핀 빠진 중앙분리대,L2,흔들리는 분리대 보고 놀라 감속하는 차량,L4,median barrier missing anchor pin|loose median barrier fastener|median barrier|center divider|median|divider|damaged,1
68,색 바랜 중앙분리대,L2,야간 시인성 낮아 근접 주행하는 차량,L4,faded median barrier|discolored median strip|median barrier|center divider|median|divider|damaged,1
69,훼손된 중앙분리대 연결부,L2,끊긴 구간으로 진입 시도하는 보행자,L4,damaged median barrier joint|broken median barrier connector|median barrier|center divider|median|divider|damaged,1
70,침하로 단차 생긴 중앙분리대,L2,단차에 걸려 흔들리는 차량,L4,median barrier with settlement step|sunken median barrier edge|median barrier|center divider|median|divider|damaged,1
71,파손된 가드레일,L2,도로 이탈 위험 겪는 차량,L4,damaged guardrail|broken guard rail|guardrail|guard rail|rail|damaged,1
72,찌그러진 가드레일,L2,충돌 흔적 보고 서행하는 차량,L4,dented guardrail|crumpled guard rail|guardrail|guard rail|rail|damaged,1
73,연결부 끊어진 가드레일,L2,틈새로 도로 이탈하는 차량,L4,guardrail with broken joint|disconnected guardrail segment|guardrail|guard rail|rail|damaged,1
74,녹슨 가드레일,L2,강도 저하 우려로 감속하는 차량,L4,rusted guardrail|corroded guard rail|guardrail|guard rail|rail|damaged,1
75,기울어진 가드레일,L2,방호 기능 의심하며 중앙으로 붙는 차량,L4,tilted guardrail|leaning guard rail|guardrail|guard rail|rail|damaged,1
76,반사판 탈락된 가드레일,L2,야간에 가드레일 못 보고 근접 주행하는 차량,L4,guardrail missing reflector|guard rail reflector detached|guardrail|guard rail|rail|damaged,1
77,높이 낮아진 가드레일,L2,전복 위험 겪는 차량,L4,guardrail lowered in height|guard rail with reduced height|guardrail|guard rail|rail|damaged,1
78,지지대 흔들리는 가드레일,L2,불안정한 구조 보고 감속하는 차량,L4,guardrail with loose support|wobbling guardrail post|guardrail|guard rail|rail|damaged,1
79,매립부 침하된 가드레일,L2,방호력 상실한 구간 지나는 차량,L4,guardrail with sunken foundation|settled guardrail base|guardrail|guard rail|rail|damaged,1
80,도색 벗겨진 가드레일,L2,야간 시인성 낮아 근접 주행하는 이륜차,L4,guardrail with peeling paint|faded guard rail coating|guardrail|guard rail|rail|damaged,1
81,넘어진 가로등,L2,장애물 회피하며 급조향하는 차량,L4,fallen streetlight|toppled street lamp|streetlight|street lamp|lamp|damaged,1
82,꺼진 가로등,L2,야간 시야 확보 못한 채 서행하는 차량,L4,streetlight off|unlit street lamp|streetlight|street lamp|lamp|damaged,1
83,점멸하는 가로등,L2,불빛에 놀라 주의 분산되는 운전자,L4,flickering streetlight|blinking street lamp|streetlight|street lamp|lamp|damaged,1
84,배선 노출된 가로등,L2,감전 위험 피해 우회하는 보행자,L4,streetlight with exposed wiring|street lamp exposed cables|streetlight|street lamp|lamp|damaged,1
85,기울어진 가로등,L2,낙하 우려로 도로 중앙으로 피하는 보행자,L4,tilted streetlight|leaning street lamp|streetlight|street lamp|lamp|damaged,1
86,녹슨 가로등 기둥,L2,붕괴 우려로 우회하는 보행자,L4,rusted streetlight pole|corroded lamp post|streetlight|street lamp|lamp|damaged,1
87,가지에 가려진 가로등,L2,야간 조도 부족 구간을 서행하는 차량,L4,streetlight obscured by branches|tree blocking street lamp|streetlight|street lamp|lamp|damaged,1
88,조도 약해진 가로등,L2,야간 시야 불량으로 감속하는 차량,L4,dim streetlight|weak streetlamp illumination|streetlight|street lamp|lamp|damaged,1
89,파손된 가로등 덮개,L2,낙하물 피해 우회하는 보행자,L4,damaged streetlight cover|broken lamp housing|streetlight|street lamp|lamp|damaged,1
90,기초부 침하된 가로등,L2,붕괴 위험 표시 보고 우회하는 보행자,L4,streetlight with sunken base|settled lamp post foundation|streetlight|street lamp|lamp|damaged,1
91,깨진 반사경,L2,사각지대 확인 못하고 진입하는 차량,L4,broken convex mirror|cracked road mirror|convex mirror|road mirror|mirror|damaged,1
92,흐려진 반사경,L2,반대편 차량 못 보고 진입하는 차량,L4,cloudy convex mirror|hazy road mirror|convex mirror|road mirror|mirror|damaged,1
93,방향 어긋난 반사경,L2,잘못된 각도로 오판하는 운전자,L4,misaligned convex mirror|road mirror facing wrong direction|convex mirror|road mirror|mirror|damaged,1
94,녹슨 반사경 프레임,L2,반사경 신뢰 못하고 서행 진입하는 차량,L4,rusted mirror frame|corroded convex mirror frame|convex mirror|road mirror|mirror|damaged,1
95,먼지로 뒤덮인 반사경,L2,반사 상 흐려 오판하는 운전자,L4,dust covered convex mirror|dirty road mirror|convex mirror|road mirror|mirror|damaged,1
96,금 간 반사경,L2,왜곡된 상 보고 오판하는 운전자,L4,cracked convex mirror|fractured road mirror|convex mirror|road mirror|mirror|damaged,1
97,기울어진 반사경,L2,사각지대 여전히 못 보는 차량,L4,tilted convex mirror|leaning road mirror|convex mirror|road mirror|mirror|damaged,1
98,가지에 가려진 반사경,L2,반사경 무용해져 서행 진입하는 차량,L4,convex mirror obscured by branches|tree blocking road mirror|convex mirror|road mirror|mirror|damaged,1
99,반사면 벗겨진 반사경,L2,상이 흐려 확인 못하는 운전자,L4,convex mirror with peeling reflective surface|worn mirror coating|convex mirror|road mirror|mirror|damaged,1
100,고정 풀린 반사경,L2,흔들리는 상으로 오판하는 운전자,L4,loose convex mirror mount|unstable road mirror fixture|convex mirror|road mirror|mirror|damaged,1
101,넘어진 시선유도봉,L2,커브 경로 오판하는 차량,L4,fallen delineator post|toppled guide post|delineator post|guide post|post|delineator|damaged,1
102,파손된 시선유도봉,L2,도로 경계 못 찾는 차량,L4,damaged delineator post|broken guide post|delineator post|guide post|post|delineator|damaged,1
103,반사판 탈락된 시선유도봉,L2,야간 커브 진입 경로 이탈하는 차량,L4,delineator post missing reflector|guide post reflector detached|delineator post|guide post|post|delineator|damaged,1
104,색 바랜 시선유도봉,L2,경로 인지 늦은 차량,L4,faded delineator post|discolored guide post|delineator post|guide post|post|delineator|damaged,1
105,간격 불규칙한 시선유도봉,L2,커브 곡률 오판하는 차량,L4,irregularly spaced delineator posts|uneven guide post spacing|delineator post|guide post|post|delineator|damaged,1
106,휘어진 시선유도봉,L2,경로 착각하고 진입하는 차량,L4,bent delineator post|warped guide post|delineator post|guide post|post|delineator|damaged,1
107,매립부 헐거워진 시선유도봉,L2,흔들리는 유도봉 보고 놀라는 운전자,L4,delineator post with loose base|unstable guide post foundation|delineator post|guide post|post|delineator|damaged,1
108,야간 식별 어려운 시선유도봉,L2,야간 커브 진입 속도 못 줄이는 차량,L4,delineator post hard to see at night|poor night visibility guide post|delineator post|guide post|post|delineator|damaged,1
109,일부 결번된 시선유도봉,L2,경로 연속성 착각하는 차량,L4,missing delineator post in sequence|gap in guide post line|delineator post|guide post|post|delineator|damaged,1
110,기울어진 시선유도봉,L2,유도 방향 오판하는 차량,L4,tilted delineator post|leaning guide post|delineator post|guide post|post|delineator|damaged,1
111,훼손된 보행자 방호울타리,L2,틈새로 무단횡단하는 보행자,L4,damaged pedestrian fence|broken pedestrian barrier|pedestrian fence|pedestrian barrier|fence|barrier|damaged,1
112,넘어진 보행자 방호울타리,L2,차도로 진입하는 보행자,L4,fallen pedestrian fence|toppled pedestrian barrier|pedestrian fence|pedestrian barrier|fence|barrier|damaged,1
113,연결부 끊어진 보행자 방호울타리,L2,끊긴 구간으로 횡단하는 보행자,L4,pedestrian fence with broken joint|disconnected pedestrian barrier segment|pedestrian fence|pedestrian barrier|fence|barrier|damaged,1
114,녹슨 보행자 방호울타리,L2,강도 약화로 기대어 넘어가는 보행자,L4,rusted pedestrian fence|corroded pedestrian barrier|pedestrian fence|pedestrian barrier|fence|barrier|damaged,1
115,높이 낮아진 보행자 방호울타리,L2,쉽게 넘어 차도 진입하는 보행자,L4,pedestrian fence lowered in height|reduced height pedestrian barrier|pedestrian fence|pedestrian barrier|fence|barrier|damaged,1
116,철거되다 만 보행자 방호울타리,L2,개방부로 무단횡단하는 보행자,L4,partially removed pedestrian fence|half dismantled pedestrian barrier|pedestrian fence|pedestrian barrier|fence|barrier|damaged,1
117,기둥 흔들리는 보행자 방호울타리,L2,불안정 구조 넘어가는 보행자,L4,pedestrian fence with wobbling post|unstable pedestrian barrier support|pedestrian fence|pedestrian barrier|fence|barrier|damaged,1
118,도색 벗겨진 보행자 방호울타리,L2,야간 시인성 낮아 못 보는 차량,L4,pedestrian fence with peeling paint|faded pedestrian barrier coating|pedestrian fence|pedestrian barrier|fence|barrier|damaged,1
119,파손된 보행자 방호울타리 연결부,L2,틈새로 진입하는 보행자,L4,damaged pedestrian fence joint|broken pedestrian barrier connector|pedestrian fence|pedestrian barrier|fence|barrier|damaged,1
120,구간 일부 빠진 보행자 방호울타리,L2,빈 구간으로 무단횡단하는 보행자,L4,gap in pedestrian fence|missing section of pedestrian barrier|pedestrian fence|pedestrian barrier|fence|barrier|damaged,1
121,마모된 과속방지턱,L2,감속 효과 없이 통과하는 차량,L4,worn speed bump|eroded speed hump|speed bump|speed hump|bump|hump|damaged,1
122,색 바랜 과속방지턱,L2,인지 늦어 급제동하는 차량,L4,faded speed bump|discolored speed hump|speed bump|speed hump|bump|hump|damaged,1
123,높이 낮아진 과속방지턱,L2,감속 없이 통과하는 차량,L4,speed bump worn low|flattened speed hump|speed bump|speed hump|bump|hump|damaged,1
124,갈라진 과속방지턱,L2,충격 피하려 급조향하는 차량,L4,cracked speed bump|fractured speed hump|speed bump|speed hump|bump|hump|damaged,1
125,반사도료 벗겨진 과속방지턱,L2,야간에 인지 못하고 통과하는 차량,L4,speed bump with worn reflective paint|non-reflective speed hump|speed bump|speed hump|bump|hump|damaged,1
126,경고 표지 없는 과속방지턱,L2,예상 못하고 충격받는 차량,L4,speed bump without warning sign|unmarked speed hump|speed bump|speed hump|bump|hump|damaged,1
127,포장 들뜬 과속방지턱,L2,돌출부에 놀라 급제동하는 차량,L4,speed bump with lifted pavement|buckled speed hump surface|speed bump|speed hump|bump|hump|damaged,1
128,비대칭으로 침하된 과속방지턱,L2,좌우 흔들리며 통과하는 차량,L4,unevenly sunken speed bump|asymmetrically settled speed hump|speed bump|speed hump|bump|hump|damaged,1
129,야간 식별 어려운 과속방지턱,L2,야간에 충격받고 급제동하는 차량,L4,speed bump hard to see at night|poor night visibility speed hump|speed bump|speed hump|bump|hump|damaged,1
130,일부 파손된 과속방지턱,L2,파손부 피해 급조향하는 이륜차,L4,partially damaged speed bump|broken section of speed hump|speed bump|speed hump|bump|hump|damaged,1
131,침하된 맨홀 뚜껑,L2,충격 피해 급조향하는 차량,L4,sunken manhole cover|settled manhole cover|manhole cover|manhole|cover|damaged,1
132,헐거워진 맨홀 뚜껑,L2,소음에 놀라는 운전자,L4,loose manhole cover|unstable manhole cover|manhole cover|manhole|cover|damaged,1
133,깨진 맨홀 뚜껑,L2,파편 피해 급조향하는 이륜차,L4,broken manhole cover|cracked manhole cover|manhole cover|manhole|cover|damaged,1
134,돌출된 맨홀 뚜껑,L2,충격 피해 급제동하는 차량,L4,protruding manhole cover|raised manhole cover|manhole cover|manhole|cover|damaged,1
135,미끄러운 맨홀 뚜껑,L2,제동 시 미끄러지는 이륜차,L4,slippery manhole cover|manhole cover|manhole|cover|damaged,1
136,고정 안 된 맨홀 뚜껑,L2,흔들림에 놀라 급조향하는 차량,L4,unsecured manhole cover|unfastened manhole cover|manhole cover|manhole|cover|damaged,1
137,녹슨 맨홀 뚜껑,L2,강도 저하 우려로 피해가는 이륜차,L4,rusted manhole cover|corroded manhole cover|manhole cover|manhole|cover|damaged,1
138,빗물에 잠긴 맨홀 뚜껑,L2,위치 못 보고 통과하는 차량,L4,manhole cover submerged in rainwater|flooded manhole cover|manhole cover|manhole|cover|damaged,1
139,경고 표시 없는 맨홀 뚜껑,L2,예상 못하고 충격받는 이륜차,L4,manhole cover without warning marking|unmarked manhole cover|manhole cover|manhole|cover|damaged,1
140,소음 나는 헐거운 맨홀 뚜껑,L2,소음에 놀라 급제동하는 차량,L4,noisy loose manhole cover|rattling manhole cover|manhole cover|manhole|cover|damaged,1
141,주의 표지판 없는 포트홀,L2,예상 못하고 급제동하는 차량,L4,pothole without warning sign|unmarked pothole|road surface|pavement|road|surface|damaged,1
142,방치된 노면 균열,L2,균열 피해 급조향하는 이륜차,L4,neglected road crack|untreated pavement crack|road surface|pavement|road|surface|damaged,1
143,배수 불량 노면 침수,L2,수막현상으로 미끄러지는 차량,L4,flooded road due to poor drainage|waterlogged pavement|road surface|pavement|road|surface|damaged,1
144,결빙 경고 없는 그늘진 커브,L2,빙판에 미끄러지는 차량,L4,shaded curve without icy road warning|unmarked icy curve|road surface|pavement|road|surface|damaged,1
145,요철 심한 이음부,L2,충격에 흔들리는 차량,L4,severe bump at pavement joint|rough road surface joint|road surface|pavement|road|surface|damaged,1
146,융기된 아스팔트 이음매,L2,돌출부에 걸려 급제동하는 차량,L4,heaved asphalt joint|buckled pavement seam|road surface|pavement|road|surface|damaged,1
147,미끄럼방지 코팅 벗겨진 경사로,L2,제동거리 늘어나는 차량,L4,ramp with worn anti-slip coating|slippery ramp surface|road surface|pavement|road|surface|damaged,1
148,땜질 자국 많은 노면,L2,불규칙 충격에 흔들리는 차량,L4,road surface with many patch marks|heavily patched pavement|road surface|pavement|road|surface|damaged,1
149,침하로 단차 생긴 노면,L2,단차에 걸려 급조향하는 차량,L4,road surface with settlement step|sunken pavement edge|road surface|pavement|road|surface|damaged,1
150,갓길과 단차 생긴 노면 경계,L2,갓길 진입 시 전복 위험 겪는 차량,L4,road edge with step to shoulder|uneven shoulder boundary|road surface|pavement|road|surface|damaged,1
151,함몰된 배수로 덮개,L2,충격 피해 급조향하는 이륜차,L4,sunken drain cover|depressed gutter cover|drain cover|gutter cover|drain|grate|damaged,1
152,깨진 배수로 덮개,L2,파편 피해 우회하는 차량,L4,broken drain cover|cracked gutter cover|drain cover|gutter cover|drain|grate|damaged,1
153,헐거워진 배수로 덮개,L2,배수로 덮개 소음에 놀라는 운전자,L4,loose drain cover|unstable gutter cover|drain cover|gutter cover|drain|grate|damaged,1
154,녹슨 배수로 덮개,L2,강도 저하 우려로 피해가는 차량,L4,rusted drain cover|corroded gutter cover|drain cover|gutter cover|drain|grate|damaged,1
155,막힌 배수구 덮개,L2,침수 피해 서행하는 차량,L4,clogged drain cover|blocked gutter cover|drain cover|gutter cover|drain|grate|damaged,1
156,돌출된 배수로 덮개,L2,충격 피해 급제동하는 이륜차,L4,protruding drain cover|raised gutter cover|drain cover|gutter cover|drain|grate|damaged,1
157,경고 표시 없는 배수로 덮개,L2,배수로 덮개 충격에 놀라는 이륜차,L4,drain cover without warning marking|unmarked gutter cover|drain cover|gutter cover|drain|grate|damaged,1
158,빗물에 잠긴 배수로 덮개,L2,덮개 위치 안 보이고 지나가는 차량,L4,drain cover submerged in rainwater|flooded gutter cover|drain cover|gutter cover|drain|grate|damaged,1
159,고정 나사 빠진 배수로 덮개,L2,흔들림에 놀라 급조향하는 이륜차,L4,drain cover missing fixing screw|unfastened gutter cover|drain cover|gutter cover|drain|grate|damaged,1
160,갈라진 배수로 덮개,L2,파손부 피해 우회하는 차량,L4,cracked drain cover|fractured gutter cover|drain cover|gutter cover|drain|grate|damaged,1
161,파손된 육교 계단,L2,발 헛디뎌 넘어지는 보행자,L4,damaged overpass stairs|broken footbridge steps|pedestrian overpass|underpass|overpass|damaged,1
162,미끄러운 지하도 계단,L2,미끄러져 넘어지는 보행자,L4,slippery underpass stairs|pedestrian overpass|underpass|overpass|damaged,1
163,난간 헐거워진 육교,L2,난간 붙잡다 놀라는 보행자,L4,overpass with loose handrail|footbridge with unstable railing|pedestrian overpass|underpass|overpass|damaged,1
164,조명 꺼진 지하도 입구,L2,진입 주저하며 차도로 우회하는 보행자,L4,unlit underpass entrance|dark underpass entry|pedestrian overpass|underpass|overpass|damaged,1
165,손잡이 부러진 지하도 계단,L2,지지대 없이 헛디디는 보행자,L4,underpass stairs with broken handrail|pedestrian overpass|underpass|overpass|damaged,1
166,단차 어긋난 육교 계단,L2,보폭 착각해 헛디디는 보행자,L4,overpass stairs with uneven steps|misaligned footbridge steps|pedestrian overpass|underpass|overpass|damaged,1
167,배수 불량 지하도 입구,L2,침수 피해 차도로 우회하는 보행자,L4,underpass entrance with poor drainage|flooded underpass entry|pedestrian overpass|underpass|overpass|damaged,1
168,결빙 방치된 육교 계단,L2,빙판진 육교 계단에서 넘어지는 보행자,L4,overpass stairs left icy|untreated icy footbridge steps|pedestrian overpass|underpass|overpass|damaged,1
169,바닥재 들뜬 지하도 통로,L2,들뜬 바닥재에 걸려 넘어지는 보행자,L4,underpass passage with lifted flooring|loose underpass floor tiles|pedestrian overpass|underpass|overpass|damaged,1
170,난간 녹슨 육교,L2,붙잡기 꺼려 중앙으로 걷는 보행자,L4,overpass with rusted railing|footbridge with corroded handrail|pedestrian overpass|underpass|overpass|damaged,1
171,헐거워진 볼라드,L2,부딪혀 넘어지는 보행자,L4,loose bollard|unstable bollard|bollard|damaged,1
