번호,원본 키워드,원본 레이어,필요충분조건 키워드
88,노면 균열 보수용 PE 물통 방호벽,L3,균열 보수 물통 차단선 옆 지나는 차량
89,노면 균열 보수용 임시 가설펜스,L3,균열 보수 펜스로 좁아진 통로 구간
90,노면 균열 보수용 노출된 지하배관,L3,균열 보수 드러난 배관 옆 통과 차량
91,노면 균열 보수용 뜯겨진 보도블럭,L3,균열 보수 깨진 보도 경계 밟는 보행자
92,노면 균열 보수용 임시 목재발판,L3,균열 보수 널판 위 조심히 건너는 보행자
93,노면 균열 보수용 포대자루 적치물,L3,균열 보수 포대 더미 옆 비켜가는 차량
94,노면 균열 보수용 도로 파임(포트홀),L3,균열 보수 파인 노면 피해가는 차량
95,노면 균열 보수용 임시 우회 화살표지판,L3,균열 보수 화살 유도 따라 방향 바꾸는 차량
96,노면 균열 보수용 사고현장 폴리스라인,L3,균열 보수 통제선 앞 멈춘 사람
97,노면 균열 보수용 공사용 철근 구조물,L3,균열 보수 철근 골조 옆 좁아진 공간
98,노면 균열 보수용 임시 과속방지턱,L3,균열 보수 임시 턱 넘으며 감속 차량
99,노면 균열 보수용 보양천(천막) 덮개,L3,균열 보수 천막 덮인 작업구간 옆 통과 차량
100,건물 신축 현장 앞 라바콘,L3,신축 현장 앞 주황 유도물 따라 우회 차량
101,건물 신축 현장 앞 바리케이드,L3,신축 현장 차단물 앞 멈춘 차량
102,건물 신축 현장 앞 철제복공판,L3,신축 현장 금속 덮개 통과 진동 차량
103,건물 신축 현장 앞 임시 모래더미,L3,신축 현장 흙무더기 옆 비켜가는 차량
104,건물 신축 현장 앞 아스팔트 절삭 단차,L3,신축 현장 깎인 노면 단차 넘는 차량
105,건물 신축 현장 앞 낙하물(종이박스),L3,신축 현장 상자 낙하물 피하는 차량
106,건물 신축 현장 앞 공사안내 임시표지판,L3,신축 현장 안내판 보고 감속 차량
107,건물 신축 현장 앞 야간 점멸윙카,L3,신축 현장 야간 점멸등 보고 서행 차량
108,건물 신축 현장 앞 PE 물통 방호벽,L3,신축 현장 물통 차단선 옆 지나는 차량
109,건물 신축 현장 앞 임시 가설펜스,L3,신축 현장 펜스로 좁아진 통로 구간
110,신호등 교체 작업용 라바콘,L3,신호 교체 앞 주황 유도물 따라 우회 차량
111,신호등 교체 작업용 바리케이드,L3,신호 교체 차단물 앞 멈춘 차량
112,신호등 교체 작업용 철제복공판,L3,신호 교체 금속 덮개 통과 진동 차량
113,신호등 교체 작업용 임시 모래더미,L3,신호 교체 흙무더기 옆 비켜가는 차량
114,신호등 교체 작업용 아스팔트 절삭 단차,L3,신호 교체 깎인 노면 단차 넘는 차량
115,이사 사다리차 작업용 라바콘,L3,사다리차 작업 앞 주황 유도물 따라 우회 차량
116,이사 사다리차 작업용 바리케이드,L3,사다리차 작업 차단물 앞 멈춘 차량
117,이사 사다리차 작업용 철제복공판,L3,사다리차 작업 금속 덮개 통과 진동 차량
118,이사 사다리차 작업용 임시 모래더미,L3,사다리차 작업 흙무더기 옆 비켜가는 차량
119,이사 사다리차 작업용 아스팔트 절삭 단차,L3,사다리차 작업 깎인 노면 단차 넘는 차량
120,지하철 환기구 보수용 라바콘,L3,환기구 보수 앞 주황 유도물 따라 우회 차량
121,지하철 환기구 보수용 바리케이드,L3,환기구 보수 차단물 앞 멈춘 차량
122,지하철 환기구 보수용 철제복공판,L3,환기구 보수 금속 덮개 통과 진동 차량
123,지하철 환기구 보수용 임시 모래더미,L3,환기구 보수 흙무더기 옆 비켜가는 차량
124,지하철 환기구 보수용 아스팔트 절삭 단차,L3,환기구 보수 깎인 노면 단차 넘는 차량
125,도로 물청소 후 발생한 라바콘,L3,물청소 뒤 주황 유도물 따라 우회 차량
126,도로 물청소 후 발생한 바리케이드,L3,물청소 뒤 차단물 앞 멈춘 차량
127,도로 물청소 후 발생한 철제복공판,L3,물청소 뒤 금속 덮개 통과 진동 차량
128,도로 물청소 후 발생한 임시 모래더미,L3,물청소 뒤 흙무더기 옆 비켜가는 차량
129,도로 물청소 후 발생한 아스팔트 절삭 단차,L3,물청소 뒤 깎인 노면 단차 넘는 차량
130,전신주 수리 아스팔트절삭면,L3,전신주 수리 깎인 노면 단차 넘는 차량
131,가로수 전지 작업 공사자재적치물,L3,전지 자재 더미 옆 좁아진 공간
132,상하수도 굴착 철제복공판,L3,굴착 구간 금속 덮개 통과 진동 차량
133,신호등 보수 PE방호벽,L3,신호 보수 물통 차단선 옆 지나는 차량
134,이사 사다리차 점유 이동식A형간판,L3,사다리차 작업 간판 앞 방향 바꾸는 차량
135,가로수 전지 작업 아스팔트절삭면,L3,전지 작업 깎인 노면 단차 넘는 차량
136,행사 퍼레이드 통제 임시모래더미,L3,퍼레이드 통제 흙더미 옆 우회 차량
137,맨홀 뚜껑 교체 야간점멸윙카,L3,맨홀 교체 점멸등 보고 서행 차량
138,차선 도색 철제복공판,L3,도색 구간 금속 덮개 통과 진동 차량
139,집회 시위 행진 철제복공판,L3,행진 구간 금속 덮개 통과 진동 차량
140,영화 촬영 통제 공사자재적치물,L3,촬영 장비 더미 옆 좁아진 공간
141,건축 자재 하역 임시펜스,L3,하역 펜스로 좁아진 통로 구간
142,방음벽 설치 야간점멸윙카,L3,방음벽 작업 점멸등 보고 서행 차량
143,도시가스 배관 공사 야간점멸윙카,L3,가스 공사 점멸등 보고 서행 차량
144,가드레일 보수 야간점멸윙카,L3,가드레일 보수 점멸등 보고 서행 차량
145,도로 포장 공사 임시모래더미,L3,포장 공사 흙무더기 옆 비켜가는 차량
146,마라톤 대회 통제 임시펜스,L3,대회 펜스로 좁아진 통과 구간
147,임시 우회도로 PE방호벽,L3,우회도로 물통 차단선 옆 지나는 차량
148,건물 신축 가림막 임시모래더미,L3,가림막 앞 흙무더기 옆 비켜가는 차량
149,차선 도색 PE방호벽,L3,도색 구간 물통 차단선 옆 지나는 차량
150,마라톤 대회 통제 PE방호벽,L3,대회 통제 물통 차단선 옆 지나는 차량
151,가로등 교체 작업 라바콘,L3,가로등 작업 앞 주황 유도물 따라 우회 차량
152,CCTV 설치 작업 라바콘,L3,CCTV 작업 앞 주황 유도물 따라 우회 차량
153,전력구 공사 안전표지판,L3,전력구 작업 안내판 보고 감속 차량
154,하수도 정비 야간점멸윙카,L3,하수도 정비 점멸등 보고 서행 차량
155,임시 우회도로 임시펜스,L3,우회도로 펜스로 좁아진 통로 구간
156,가스 누출 점검 PE방호벽,L3,가스 점검 물통 차단선 옆 지나는 차량
157,낙하물 수거 작업 철제복공판,L3,수거 구간 금속 덮개 통과 진동 차량
158,제설 작업중 임시모래더미,L3,제설 뒤 모래더미 옆 비켜가는 차량
159,교통안내판 설치 라바콘,L3,안내판 설치 앞 주황 유도물 따라 우회 차량
160,지하철 공사 복공판 공사자재적치물,L3,지하철 자재 더미 옆 좁아진 공간
161,육교 철거 작업 야간점멸윙카,L3,육교 철거 점멸등 보고 서행 차량
162,포트홀 보수 임시펜스,L3,포트홀 보수 펜스로 좁아진 통로 구간
163,자전거 대회 통제 임시펜스,L3,대회 통제 펜스로 좁아진 통과 구간
164,집회 시위 행진 안전표지판,L3,행진 통제 안내판 보고 감속 차량
165,도로 물청소차 PE방호벽,L3,물청소 물통 차단선 옆 지나는 차량
166,중앙분리대 보수 야간점멸윙카,L3,분리대 보수 점멸등 보고 서행 차량
167,사고 처리중 공사자재적치물,L3,사고 처리 자재 더미 옆 좁아진 공간
168,노면 청소중 PE방호벽,L3,청소 구간 물통 차단선 옆 지나는 차량
169,불법 적치물 아스팔트절삭면,L3,적치물 주변 깎인 노면 단차 넘는 차량
170,음주단속용 라바콘,L3,단속 차로 앞 주황 유도물 따라 서행 차량
171,음주단속 입간판,L3,단속 안내판 보고 속도 줄이는 차량
172,단속 구역 이동식 투광기,L3,밝은 조명 아래 서행하는 차량
173,음주단속 서행 유도 PE 방호벽,L3,단속 물통 차단선 옆 서행 차량
174,음주단속 이동식 과속방지턱,L3,단속용 임시 턱 넘으며 감속 차량
175,선거 유세 차량 라바콘,L3,유세 차량 앞 주황 유도물 따라 우회 차량
176,선거 유세 이동식 펜스,L3,유세 펜스로 좁아진 통행 구간
177,선거 후보자 임시 현수막 거치대,L3,현수막 거치대 옆 좁아진 보행 공간
178,유세 무대 연결 전선 다발,L3,엉킨 전선 옆 조심히 지나는 보행자
179,유세차량 발전기 소음 가림막,L3,가림막 옆 좁아진 통행 공간
180,교량 신축이음장치 보수용 라바콘,L3,이음 보수 앞 주황 유도물 따라 우회 차량
181,교량 보수용 철제 바리케이드,L3,교량 보수 차단물 앞 멈춘 차량
182,교량 파손 이음매 덮은 철판,L3,철판 덮인 이음매 통과 진동 차량
183,교량 이음매 교체용 아스팔트 절삭 단차,L3,이음 교체 깎인 노면 단차 넘는 차량
184,교량 보수 자재 방수포 덮개,L3,방수포 덮인 자재 옆 비켜가는 차량
185,전통시장 진입 통제 이동식 볼라드,L3,시장 입구 볼라드 앞 멈춘 차량
186,임시 노점상 몽골 텐트,L3,임시 텐트 옆 좁아진 보행 공간
187,명절 특산품 적치 나무 평상,L3,나무 평상 옆 비켜가는 보행자
188,임시 파라솔 고정 지지대,L3,파라솔 지지대 옆 발걸음 피하는 보행자
189,시장 차량 진입 통제 A형 간판,L3,시장 통제 간판 앞 방향 바꾸는 차량
190,하수도 준설 작업용 라바콘,L3,준설 작업 앞 주황 유도물 따라 우회 차량
191,열린 맨홀 추락 방지 펜스,L3,열린 맨홀 주변 펜스로 좁아진 공간
192,하수도 찌꺼기 마대자루,L3,마대 더미 옆 비켜가는 보행자
193,준설 호스 보호용 고무 덮개판,L3,호스 덮개판 위 조심히 지나는 차량
194,준설 작업 야간 점멸윙카,L3,준설 작업 점멸등 보고 서행 차량
195,로드킬 수거 차량 LED 화살표 표지판,L3,화살표 LED 따라 차로 바꾸는 차량
196,로드킬 수거 갓길 통제용 라바콘,L3,갓길 통제 주황 유도물 따라 서행 차량
197,동물 사체 처리용 빈 종이 박스,L3,빈 상자 옆 조심히 지나는 보행자
198,핏자국 덮은 톱밥 더미,L3,톱밥 더미 옆 비켜가는 차량
199,2차 사고 방지용 야간 불꽃 신호기,L3,불꽃 신호 보고 멀찍이 멈춘 차량
200,졸음쉼터 확장 공사 PE 물통 방호벽,L3,쉼터 공사 물통 차단선 옆 지나는 차량
201,공사 현장 진출입로 가설 플라스틱 펜스,L3,진출입로 펜스로 좁아진 통행 구간
202,토사 유출 방지 녹색 그물망,L3,그물망 옆 제한된 가장자리 공간
203,공사용 흙 실어나르다 흘린 토사물,L3,흘린 토사물 피해가는 차량
204,갓길 포장용 아스팔트 절삭 단차,L3,갓길 포장 깎인 노면 단차 넘는 차량
205,터널 조명 교체 차선 통제 라바콘,L3,터널 작업 주황 유도물 따라 차로 바꾸는 차량
206,고소차 뒤 이동식 충격흡수장치(TMA),L3,작업차 뒤 완충장치 뒤따르는 차량
207,터널 바닥 폐형광등 박스,L3,폐형광등 상자 옆 조심히 지나는 차량
208,터널 야간 차선 통제 점멸윙카,L3,터널 점멸등 보고 차선 바꾸는 차량
209,터널 교체 작업 안내 이동식 VMS,L3,이동식 전광판 보고 차선 바꾸는 차량
210,싱크홀 주변 경찰 통제선,L3,싱크홀 통제선 앞 멈춘 사람
211,싱크홀 접근 차단 철제 바리케이드,L3,싱크홀 차단물 앞 멈춘 차량
212,싱크홀 임시 복구 흙 모래 더미,L3,복구 흙더미 옆 비켜가는 차량
213,싱크홀 구멍 임시 덮은 철제 복공판,L3,싱크홀 덮개판 통과 진동 차량
214,지반 조사 코어링 구멍 단차,L3,코어링 구멍 단차 피해가는 차량
215,붕괴 위험 축대벽 잔해물,L3,축대 잔해물 옆 좁아진 공간
216,붕괴 위험 접근 금지 그물망 펜스,L3,그물망 펜스 앞 멈춘 보행자
217,보강 공사 철관 비계 구조물,L3,철관 비계 옆 좁아진 통행 공간
218,낙석 방지 두꺼운 천막 덮개,L3,천막 덮인 사면 옆 통과 차량
219,자재 운반용 임시 목재 발판,L3,목재 발판 위 조심히 건너는 보행자
