번호,원본 키워드,원본 레이어,필요충분조건 키워드
73,버스정류장 인근 횡단보도 예고표시,L2,정류장 전방 횡단 예고 인지 차량
74,버스정류장 인근 노면 진입금지 표시,L2,버스 접근면 금지표시 앞 차량
75,버스정류장 인근 점멸신호기,L2,정류장 접근 시 점멸 확인 차량
76,버스정류장 인근 보행자 방호울타리,L2,대기 승객 옆 울타리 넘는 보행자
77,버스정류장 인근 충격흡수시설,L2,정류장 진입 분기 끝 충돌 차량
78,버스정류장 인근 가변정보표지판(VMS),L2,정류장 앞 전광정보 확인 운전자
79,버스정류장 인근 야생동물주의표지판,L2,정류장 주변 고라니 경계 구간
80,버스정류장 인근 우회전 전용신호등,L2,정류장 옆 우회전 신호 대기 차량
81,택시승강장 부근 신호등,L2,승강장 앞 적색등 멈춤 차량
82,택시승강장 부근 중앙분리대,L2,택시차로 맞은편 분리구조 접촉 차량
83,택시승강장 부근 어린이보호구역 표지판,L2,승강장 통학 동선 어린이 주의 구간
84,택시승강장 부근 자전거 전용 도로 표지판,L2,택시승강장 옆 붉은 자전거 흐름
85,택시승강장 부근 과속방지턱,L2,승강장 접근 전 턱 반응 차량
86,택시승강장 부근 보행자섬,L2,승강장 연결 중앙 보행 대기점
87,택시승강장 부근 반사경,L2,택시 출차 확인 반사거울 보는 운전자
88,택시승강장 부근 정지선,L2,승강장 전 흰 실선 정차 차량
89,택시승강장 부근 안전지대,L2,승객 보호용 빗금 분리 구역
90,택시승강장 부근 노면색깔유도선,L2,승강장 회피용 색선 유도 구간
91,택시승강장 부근 시선유도봉,L2,승강장 측면 주황 유도봉 제약 차량
92,택시승강장 부근 무인단속카메라,L2,승강장 부근 속도위반 촬영 차량
93,택시승강장 부근 횡단보도 예고표시,L2,승강장 앞 마름모 예고 주시 차량
94,택시승강장 부근 노면 진입금지 표시,L2,승강장 면 금지표시 접근 차량
95,택시승강장 부근 점멸신호기,L2,승강장 인접 점멸신호 서행 차량
96,택시승강장 부근 보행자 방호울타리,L2,승강장 경계 울타리 넘는 사람
97,택시승강장 부근 충격흡수시설,L2,승강장 분기단 완충부 충돌 차량
98,택시승강장 부근 가변정보표지판(VMS),L2,승강장 상부 전광안내 읽는 운전자
99,택시승강장 부근 야생동물주의표지판,L2,승강장 주변 동물 경계 구간
100,터널 진입로 신호등,L2,터널 입구 적색 진입 대기 차량
101,터널 진입로 중앙분리대,L2,터널 입구 중앙 분리벽 접촉 차량
102,터널 진입로 어린이보호구역 표지판,L2,터널 앞 어린이 통행 주의 구간
103,터널 진입로 자전거 전용 도로 표지판,L2,터널 접근 붉은 노면 자전거 흐름
104,터널 진입로 과속방지턱,L2,터널 진입 전 턱 반응 차량
105,터널 진입로 보행자섬,L2,터널 앞 중앙 횡단 대기 공간
106,터널 진입로 반사경,L2,암부 진입 전 반사거울 보는 운전자
107,터널 진입로 정지선,L2,터널 입구 실선 앞 정차 차량
108,터널 진입로 안전지대,L2,터널 전 노란 빗금 완충 공간
109,터널 진입로 노면색깔유도선,L2,암부 진입 방향 색선 유도 구간
110,버스정류장 부근 중앙부,L2,정류장 앞 차로 중앙 정렬 구간
111,대각선 횡단보도 동측,L2,대각 보행 동선 동측 접근 공간
112,화물차 조업주차구역 진입부,L2,적재구역 진입 대기 화물차
113,고가도로 하부 신호등,L2,교각 아래 적색신호 대기 차량
114,고가도로 하부 중앙분리대,L2,고가 하부 분리구조 접촉 차량
115,고가도로 하부 어린이보호구역 표지판,L2,고가 그림자 아래 어린이 주의 구간
116,고가도로 하부 자전거 전용 도로 표지판,L2,교각 옆 붉은 자전거 전용 흐름
117,고가도로 하부 과속방지턱,L2,교각 하부 턱 통과 감속 차량
118,고가도로 하부 보행자섬,L2,고가 아래 중앙 보행 대피 공간
119,고가도로 하부 반사경,L2,교각 사각 확인 반사거울 주시 운전자
120,고가도로 하부 정지선,L2,교각 아래 흰 실선 정차 차량
121,고가도로 하부 안전지대,L2,기둥 주변 빗금 보호 구역
122,고가도로 하부 노면색깔유도선,L2,고가 하부 방향 색선 분기 구간
123,횡단보도 직전 신호등,L2,보행 직전 적색 대기 차량
124,횡단보도 직전 중앙분리대,L2,횡단 접근 중앙 분리구조 접촉 차량
125,횡단보도 직전 어린이보호구역 표지판,L2,횡단 직전 어린이 보호 주의 구간
126,횡단보도 직전 자전거 전용 도로 표지판,L2,횡단 앞 붉은 자전거 흐름
127,횡단보도 직전 과속방지턱,L2,보행 전 감속 턱 통과 차량
128,급커브 구간 시선유도봉,L2,급회전 외곽 주황 봉 유도 차량
129,급커브 구간 무인단속카메라,L2,커브 진입 속도위반 포착 차량
130,급커브 구간 횡단보도 예고표시,L2,곡선 전 마름모 횡단 예고 차량
131,급커브 구간 노면 진입금지 표시,L2,커브 절단면 금지표시 접근 차량
132,급커브 구간 점멸신호기,L2,굽은 구간 점멸 경계 서행 차량
133,스쿨존 이면도로 중앙부,L2,보호구역 골목 중앙 통과 구간
134,회전교차로 중앙부,L2,원형 회전 중심 분리 공간
135,회전교차로 북측,L2,회전 흐름 북측 진입 공간
136,지하차도 진입로 진입부,L2,하강 차로 시작점 진입 구간
137,급커브 구간 제2구간,L2,연속 곡선 두번째 위험 구간
138,육교 하부 중앙부,L2,보행교 아래 중앙 통과 공간
139,공영주차장 진출입로 중앙부,L2,주차장 진입축 중앙 정렬 구간
140,방음터널 구간 외곽,L2,차폐벽 외곽 가장자리 주행 공간
141,지하차도 진입로 남측,L2,하강 진입 남측 접근 공간
142,편도 1차선 도로 동측,L2,단일 차로 동측 가장자리 공간
143,자전거 전용 횡단도 진입부,L2,자전거 횡단 시작선 접근 흐름
144,어린이보호구역 진입부,L2,보호구역 시작점 감속 접근 구간
145,회전교차로 동측,L2,원형 교차 동측 합류 공간
146,택시 승강장 외곽,L2,승강장 바깥 가장자리 승하차 공간
147,가변차로 운영구간 제1구간,L2,차로 전환 시작 운영 구간
148,고속도로 합류부 북측,L2,합류 북측 가속 진입 공간
149,급커브 구간 남측,L2,급회전 남측 시야제약 공간
150,자전거우선도로 제2구간,L2,자전거 우선 흐름 두번째 구간
151,택시 승강장 진입부,L2,택시 승강 진입 대기 차량
152,어린이보호구역 동측,L2,보호구역 동쪽 통학 접근 공간
153,지하보도 입구 외곽,L2,지하 통로 입구 가장자리 보행 공간
154,스쿨존 이면도로 남측,L2,보호구역 골목 남측 통과 구간
155,주택가 골목길 외곽,L2,주거 골목 가장자리 저속 통행 공간
156,일방통행 도로 서측,L2,단방향 차로 서측 가장자리 공간
157,점멸신호 운영구간 제2구간,L2,점멸 주의가 이어지는 두번째 구간
158,육교 하부 동측,L2,보행교 아래 동측 통과 공간
159,해안가 도로 북측,L2,해변 접한 북측 주행 공간
160,내리막 연속커브 중앙부,L2,하강 곡선 중앙 정렬 구간
161,중앙버스전용차로 진출부,L2,버스전용 차로에서 빠져나오는 구간
162,BRT 전용차로 북측,L2,급행 버스차로 북측 접근 공간
163,연속 과속방지턱 진출부,L2,반복된 턱 구간 끝 이탈 차량
164,산길 와인딩 로드 제1구간,L2,굽은 산길 첫번째 회전 구간
165,터널 진입부 북측,L2,터널 접근 북측 진입 공간
166,BRT 전용차로 동측,L2,급행 버스차로 동측 흐름 공간
167,상가 밀집구역 남측,L2,상업지 남측 보행 혼잡 공간
168,자전거우선도로 서측,L2,자전거 우선 서측 통행 구간
169,육교 하부 진출부,L2,보행교 아래 빠져나오는 연결 구간
170,공영주차장 진출입로 동측,L2,주차장 연결 동측 접근 구간
171,고속도로 합류부 중앙부,L2,합류 차로 중앙 가속 정렬 구간
172,택시 승강장 북측,L2,승강장 북쪽 승하차 접근 공간
173,대각선 횡단보도 진입부,L2,대각 보행 시작선 접근 공간
174,교량 위 도로 제1구간,L2,교량 상부 첫번째 통과 구간
175,터널 진입부 동측,L2,터널 접근 동측 유입 공간
176,중앙버스전용차로 남측,L2,버스전용 차로 남측 주행 공간
177,어린이보호구역 중앙부,L2,보호구역 중심 통학 통과 공간
178,자전거우선도로 진출부,L2,자전거 우선 구간에서 빠져나오는 흐름
179,버스정류장 부근 서측,L2,정류장 서측 승객 접근 공간
180,고가도로 하부 동측,L2,고가 아래 동측 통과 공간
181,보행자 전용구역 북측,L2,차량 배제된 북측 보행 공간
182,고속도로 합류부 진출부,L2,합류 끝에서 빠져나오는 연결 구간
183,톨게이트 진입로 하이패스 차로 표시,L2,자동 결제 차로로 정렬 진입 차량
184,톨게이트 진출입부 요금소 차단기,L2,차단봉 앞 멈춘 요금 정산 차량
185,철길 건널목 차단기,L2,열차 통과 전 차단봉 앞 정지 차량
186,철길 건널목 정지선,L2,건널목 실선 앞 정차 차량
187,철길 건널목 경보표지판,L2,건널목 경고판 보고 감속 차량
188,철길 건널목 X자 경보기,L2,X자 경보기 아래 멈춘 차량
189,교량 진입부 높이제한 구조물,L2,높은 차량이 진입 전 멈춘 구조물 앞
190,과적검문소 진입로 축중기,L2,축중 장비 위로 천천히 지나는 화물차
191,긴급제동시설 진입부 노면 표시,L2,긴급 감속로 방향선 따라 진입 차량
192,터널 내부 차로변경 통제 실선,L2,터널 안 실선 따라 차로 유지 차량
193,유턴 전용 구간 노면 표시,L2,유턴 지시 노면 따라 회전 대기 차량
194,유턴 전용 구간 표지판,L2,유턴 허용 표지 보고 대기 차량
195,소방차 전용 구역 노면 표시,L2,소방 전용 구역 비워둔 정차 금지 공간
196,장애인 전용 주차 구역 표지판,L2,휠체어 표시 앞 전용 주차 공간
197,전기차 충전 구역 노면 표시,L2,충전 전용 표시 앞 대기 차량
198,임산부 전용 주차 구역 노면 표시,L2,배려 주차 표시가 있는 전용 공간
199,고속도로 진출입로 요금소 안내 표지판,L2,요금소 방향 안내판 따라 진입 차량
200,안개 상습 구간 주의 표지판,L2,짙은 안개 경고판 보고 감속 차량
201,노면 결빙 주의 표지판,L2,빙판 경고판 보고 서행 차량
202,도로 낙석 주의 표지판,L2,낙석 경고판 보고 주의 운전 차량
203,횡풍 주의 표지판,L2,강풍 경고판 앞 흔들림 경계 차량
204,도로 측면 미끄럼방지 요철 포장,L2,측면 요철 포장 따라 미끄럼 줄이는 구간
205,고속도로 갓길 차로 노면 표시,L2,갓길 차로 표시 따라 주행 정렬 차량
206,도로변 가로등 지주대,L2,가로등 기둥 옆 좁아진 가장자리 공간
207,도로 위 문형식 도로안내표지판,L2,머리 위 안내판 보고 차로 맞추는 차량
208,오르막 차로 양보 표지판,L2,양보 표지 앞 느린 차량 비켜주는 흐름
209,진출로 방향지시 화살표 노면 표시,L2,화살표 노면 따라 진출하는 차량
210,차로 감소 예고 표지판,L2,차로 줄어듦 경고판 보고 합류 준비 차량
211,교차로 꼬리물기 금지 노면 표시,L2,교차 공간 비워두고 멈춘 차량
212,이면도로 교차점 십자형 교차 노면 표시,L2,십자 노면 표시가 있는 골목 교차점
