No.,Original Keyword,Original Layer,Necessary and Sufficient Condition Keyword
184,Waterproof Tarpaulin Cover for Bridge Repair Materials,L3,Vehicle Veering Beside Tarpaulin-Covered Materials
185,Traditional Market Access Control Mobile Bollard,L3,Vehicle Stopped Before a Bollard at a Market Entrance
186,Temporary Street Vendor Marquee Tent,L3,Narrowed Pedestrian Space Beside a Temporary Tent
187,Wooden Low Table for Holiday Specialties,L3,Pedestrian Veering Beside a Wooden Low Table
188,Temporary Parasol Anchor Base,L3,Pedestrian Stepping Away to Avoid a Parasol Anchor Base
189,Market Vehicle Access Control A-Frame Sign,L3,Vehicle Changing Direction In Front of a Market Control Sign
190,Traffic Cone for Sewer Dredging Operation,L3,Vehicle Detouring Along Orange Delineators in Front of Dredging Operation
191,Open Manhole Fall Prevention Fence,L3,Narrowed Space Due to Fencing Around an Open Manhole
192,Sewer Sludge Sacks,L3,Pedestrian Veering Beside a Sack Pile
193,Rubber Protection Cover for Dredging Hoses,L3,Vehicle Carefully Passing Over a Hose Protection Cover
194,Nighttime Flashing Warning Light for Sewer Dredging,L3,Vehicle Decelerating Upon Seeing a Dredging Work Flashing Light
195,Roadkill Collection Vehicle LED Arrow Sign,L3,Vehicle Changing Lanes Following an LED Arrow
196,Roadkill Collection Shoulder Control Traffic Cone,L3,Vehicle Traveling Slowly Following Orange Delineators for Shoulder Control
197,Empty Cardboard Box for Animal Carcass Handling,L3,Pedestrian Carefully Passing Beside an Empty Box
198,Sawdust Pile Covering Bloodstains,L3,Vehicle Veering Beside a Sawdust Pile
199,Nighttime Flare for Secondary Accident Prevention,L3,Vehicle Stopping at a Distance Upon Seeing a Flare Signal
200,Plastic Water-Filled Barrier for Rest Area Expansion,L3,Vehicle Passing Beside a Rest Area Work Water Barrier Blockade Line
201,Construction Site Entry/Exit Temporary Plastic Fence,L3,Narrowed Travel Section Due to Entry/Exit Fencing
202,Green Netting for Soil Erosion Prevention,L3,Restricted Edge Space Beside Green Netting
203,Spilled Soil from Construction Hauling,L3,Vehicle Avoiding Spilled Earth/Soil
204,Asphalt Milling Step for Shoulder Paving,L3,Vehicle Passing Over a Milled Road Surface Edge for Shoulder Paving
205,Tunnel Lighting Replacement Lane Control Traffic Cone,L3,Vehicle Changing Lanes Following Orange Delineators for Tunnel Work
206,Truck-Mounted Attenuator (TMA) Behind Aerial Work Platform,L3,Vehicle Following Behind an Attenuator Attached to a Work Truck
207,Waste Fluorescent Lamp Box on Tunnel Floor,L3,Vehicle Carefully Passing Beside a Box of Used Fluorescent Lamps
208,Tunnel Nighttime Lane Control Flashing Warning Light,L3,Vehicle Changing Lanes Upon Seeing a Tunnel Flashing Light
209,Tunnel Maintenance Guidance Portable VMS,L3,Vehicle Changing Lanes Upon Seeing a Portable VMS
210,Police Line Around Sinkhole,L3,Person Stopped Before a Sinkhole Control Line
211,Sinkhole Access Block Steel Barricade,L3,Vehicle Stopped Before a Sinkhole Blockage
212,Temporary Sinkhole Repair Sand Pile,L3,Vehicle Veering Beside a Restoration Earth Pile
213,Temporary Steel Decking Covering Sinkhole,L3,Vehicle Vibrating While Passing Over a Sinkhole Cover Plate
214,Soil Investigation Coring Hole Step,L3,Vehicle Avoiding a Step Created by a Coring Hole
215,Debris from Retaining Wall at Risk of Collapse,L3,Narrowed Space Beside Retaining Wall Debris
216,Netting Fence Restricting Access to Collapse Hazard,L3,Pedestrian Stopped Before a Netting Fence
217,Steel Pipe Scaffolding for Reinforcement Construction,L3,Narrowed Travel Space Beside Steel Pipe Scaffolding
218,Thick Tarpaulin Cover for Rockfall Prevention,L3,Vehicle Passing Beside a Tarpaulin-Covered Slope
219,Temporary Wooden Plank for Material Transport,L3,Pedestrian Carefully Crossing Over a Wooden Plank
